,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure,power_output_wea
2021-06-04 00:00:00,12.94,89.3,0.0,0.0,0.0,316.0,1.66,35.0,99078.0,3.4102416021847968
2021-06-04 01:00:00,12.59,90.8,0.0,0.0,0.0,312.25,1.45,50.0,99117.0,1.8731907146108322
2021-06-04 02:00:00,11.96,92.25,0.0,0.0,0.0,308.8,1.31,61.0,99107.0,1.161090942193901
2021-06-04 03:00:00,11.36,93.15,0.0,0.0,0.0,307.0,1.31,66.0,99117.0,1.161090942193901
2021-06-04 04:00:00,10.92,93.6,27.0,0.0,27.0,305.6,1.31,67.0,99107.0,1.161090942193901
2021-06-04 05:00:00,11.87,90.9,184.0,466.04,72.0,305.0,1.03,70.0,99107.0,0.3252660901228949
2021-06-04 06:00:00,14.21,82.9,348.0,600.24,107.0,308.0,0.9,62.0,99127.0,0.13982703686845702
2021-06-04 07:00:00,16.82,71.25,514.0,686.92,133.0,318.2,1.31,62.0,99117.0,1.161090942193901
2021-06-04 08:00:00,18.43,67.25,673.0,780.49,135.0,324.2,1.24,57.0,99069.0,0.885332362312244
2021-06-04 09:00:00,20.01,63.85,807.0,856.43,125.0,331.4,1.31,43.0,99069.0,1.161090942193901
2021-06-04 10:00:00,21.39,61.45,870.0,804.94,171.0,338.2,1.38,33.0,98982.0,1.4888782885753298
2021-06-04 11:00:00,22.59,59.35,840.0,622.92,279.0,344.6,1.59,25.0,98914.0,2.829376058261266
2021-06-04 12:00:00,23.44,55.15,715.0,360.37,394.0,350.8,1.66,23.0,98875.0,3.4102416021847968
2021-06-04 13:00:00,24.01,52.8,649.0,318.03,382.0,358.4,1.79,16.0,98827.0,4.690080655439235
2021-06-04 14:00:00,24.12,52.45,595.0,363.8,322.0,361.6,1.79,22.0,98779.0,4.690080655439235
2021-06-04 15:00:00,24.15,52.9,565.0,598.9,188.0,368.8,1.93,19.0,98749.0,6.3888
2021-06-04 16:00:00,23.99,53.35,350.0,294.86,207.0,364.6,1.79,21.0,98711.0,4.690080655439235
2021-06-04 17:00:00,23.5,56.15,241.0,370.32,120.0,368.2,1.45,43.0,98691.0,1.8731907146108322
2021-06-04 18:00:00,22.44,64.95,59.0,30.2,54.0,361.0,0.9,40.0,98711.0,0.13982703686845702
2021-06-04 19:00:00,21.37,69.85,0.0,0.0,0.0,354.4,1.17,44.0,98701.0,0.6571062357760581
2021-06-04 20:00:00,19.25,79.45,0.0,0.0,0.0,352.0,1.17,76.0,98730.0,0.6571062357760581
2021-06-04 21:00:00,17.68,84.65,0.0,0.0,0.0,343.6,1.24,90.0,98759.0,0.885332362312244
2021-06-04 22:00:00,16.92,84.95,0.0,0.0,0.0,339.0,1.66,88.0,98749.0,3.4102416021847968
2021-06-04 23:00:00,16.13,87.4,0.0,0.0,0.0,337.4,1.93,90.0,98740.0,6.3888
