Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Byte,Qualitaet_Niveau
OBS_DEU_PT10M_F,433,2022-01-01T00:00:00,5.5,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T00:10:00,5.1,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T00:20:00,4.5,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T00:30:00,4.7,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T00:40:00,5.3,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T00:50:00,5.7,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:00:00,5.6,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:10:00,5.6,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:20:00,4.7,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:30:00,4.7,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:40:00,5.8,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T01:50:00,5.7,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T02:00:00,6.2,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T02:10:00,6.2,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T02:20:00,5.9,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T02:30:00,5.8,111,3,
OBS_DEU_PT10M_F,433,2022-01-01T02:40:00,6.4,111,3,
